,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
309,0.026000000000000002,0.861,0.113,0.22,0.01,0.75,0.01,True,True,True,True
310,0.022000000000000002,0.853,0.126,0.02,0.02,0.95,0.02,True,True,False,True
311,0.012,0.8109999999999999,0.17800000000000002,0.96,0.01,0.02,0.01,False,False,False,True
312,0.018000000000000002,0.815,0.16699999999999998,0.95,0.01,0.02,0.01,False,False,False,True
313,0.017,0.85,0.133,0.94,0.02,0.02,0.02,False,False,True,True
314,0.019,0.831,0.15,0.02,0.01,0.95,0.01,False,False,False,False
315,0.023,0.8009999999999999,0.17600000000000002,0.02,0.02,0.95,0.02,True,True,True,False
316,0.03,0.841,0.129,0.02,0.02,0.94,0.02,False,False,True,True
317,0.02,0.84,0.14,0.96,0.01,0.01,0.01,False,False,True,True
318,0.022000000000000002,0.795,0.183,0.96,0.01,0.02,0.01,False,False,True,True
